epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6078,1.24219,2.82601,1.44749,0.62665,0.55963,0.54422,0.35394,1.25413,2.30629,1.48614,0.000664207,0.000664207,0.000664207
2,42.0984,1.35854,2.03595,1.50277,0.60545,0.56881,0.52612,0.33897,1.30231,2.58577,1.46551,0.0013177,0.0013177,0.0013177
3,60.0733,1.38852,1.72821,1.52466,0.49979,0.49908,0.46639,0.29441,1.41033,1.95775,1.4989,0.00195799,0.00195799,0.00195799
4,77.4179,1.35989,1.57537,1.49286,0.67958,0.61487,0.6064,0.40521,1.30053,1.65806,1.45208,0.0019406,0.0019406,0.0019406
5,95.4186,1.26928,1.43488,1.43844,0.71815,0.6367,0.63301,0.41838,1.2814,1.47966,1.38782,0.0019208,0.0019208,0.0019208
6,113.134,1.24063,1.34821,1.39505,0.72666,0.66606,0.70582,0.49259,1.15452,1.42474,1.31217,0.001901,0.001901,0.001901
7,130.234,1.21301,1.26162,1.36614,0.67647,0.64771,0.67072,0.45961,1.20092,1.41544,1.32777,0.0018812,0.0018812,0.0018812
8,148.137,1.17252,1.22161,1.34777,0.72311,0.69003,0.66801,0.42931,1.22127,1.40507,1.33118,0.0018614,0.0018614,0.0018614
9,165.732,1.13483,1.19053,1.31458,0.71545,0.70587,0.73981,0.49352,1.22453,1.27563,1.35902,0.0018416,0.0018416,0.0018416
10,183.319,1.10453,1.10138,1.29305,0.8226,0.65138,0.75388,0.53377,1.13791,1.18926,1.28469,0.0018218,0.0018218,0.0018218
11,201.151,1.06423,1.05239,1.27051,0.74768,0.70275,0.68415,0.48697,1.10308,1.24518,1.27643,0.001802,0.001802,0.001802
12,218.722,1.04319,1.00205,1.26404,0.77822,0.71009,0.76695,0.55243,1.07497,1.1069,1.24684,0.0017822,0.0017822,0.0017822
